,ccg,month,111_111_offered,111_111_answered,amb_sys_made,amb_sys_answered,gp_appt_available,ae_attendances_attendances,population,People,Places,Lives,year
0,00Q,Jan,406.65583028916126,308.9450949002496,310.5618013109489,234.71618677292483,4568.019766083442,1179.8552456660982,14.8942,97.2,99.7,94.4,2018
1,00Q,Feb,349.9336025343956,256.8729814607942,261.75643484569,205.29879692875784,3910.91834405339,1075.4521894428703,14.8942,97.2,99.7,94.4,2018
2,00Q,Mar,413.24765900495055,300.6907253136639,303.67621537362794,234.71618677292483,4051.7785446683943,1210.8740315021955,14.8942,97.2,99.7,94.4,2018
3,00Q,Apr,349.60859454461587,278.14017094586904,264.97318059068954,203.6779237489588,3974.433000765399,1186.1664271998495,14.8942,97.2,99.7,94.4,2018
4,00Q,May,361.1005437216998,284.4194919791779,294.36140305115833,227.92643652489792,4232.385760900216,1299.2977132037977,14.8942,97.2,99.7,94.4,2018
5,00Q,Jun,328.551826899078,254.36875323185023,281.1069105448842,220.21374692127847,4126.7070403244215,1166.292919391441,14.8942,97.2,99.7,94.4,2018
6,00Q,Jul,339.7666859310291,248.93528632578884,297.86982263313973,235.57245782292148,4414.738623088182,1099.0184098508144,14.8942,97.2,99.7,94.4,2018
7,00Q,Aug,300.16154563799694,239.4204690865317,274.1650732247168,213.85109050597492,4025.7281357844,993.675390420432,14.8942,97.2,99.7,94.4,2018
8,00Q,Sep,302.3574329535601,244.11850124648896,269.15661676682885,209.47181618214785,4297.578923339286,1005.2235098226156,14.8942,97.2,99.7,94.4,2018
9,00Q,Oct,326.89345279738126,255.9396251824524,299.02401767376784,230.86192535566497,5339.796699386338,1063.7026493534397,14.8942,97.2,99.7,94.4,2018
10,00Q,Nov,336.2228488116999,265.78361718058903,283.9882313773547,216.54907349805683,4961.192947590337,1031.0053577902809,14.8942,97.2,99.7,94.4,2018
11,00Q,Dec,397.6826930328704,323.6058719776861,285.202844569929,228.23686082282856,3836.9298116045175,1028.1183279397349,14.8942,97.2,99.7,94.4,2018
12,00R,Jan,406.6558302891613,308.94509490024967,310.56180131094885,234.71618677292483,4650.01256236316,1186.8920713542227,13.9305,85.8,97.6,88.0,2018
13,00R,Feb,349.9336025343956,256.8729814607943,261.75643484569,205.29879692875784,4060.58648289724,1116.6864075230608,13.9305,85.8,97.6,88.0,2018
14,00R,Mar,413.24765900495055,300.690725313664,303.67621537362794,234.71618677292483,4364.452101503895,1298.7329959441513,13.9305,85.8,97.6,88.0,2018
15,00R,Apr,349.60859454461587,278.14017094586904,264.9731805906895,203.6779237489588,4149.815153799217,1272.9622052331215,13.9305,85.8,97.6,88.0,2018
16,00R,May,361.1005437216999,284.41949197917785,294.36140305115833,227.9264365248979,4304.79882272711,1393.4173217041744,13.9305,85.8,97.6,88.0,2018
17,00R,Jun,328.5518268990779,254.36875323185023,281.1069105448842,220.21374692127847,4458.203223143462,1304.9782850579663,13.9305,85.8,97.6,88.0,2018
18,00R,Jul,339.76668593102914,248.9352863257888,297.86982263313973,235.5724578229215,4702.487347905674,1382.2906571910555,13.9305,85.8,97.6,88.0,2018
19,00R,Aug,300.16154563799694,239.4204690865317,274.1650732247168,213.85109050597487,4435.734539320197,1319.981335917591,13.9305,85.8,97.6,88.0,2018
20,00R,Sep,302.35743295356014,244.11850124648896,269.15661676682885,209.47181618214785,4577.2226409676605,1271.6700764509528,13.9305,85.8,97.6,88.0,2018
21,00R,Oct,326.8934527973813,255.9396251824524,299.02401767376784,230.861925355665,5454.9370087218695,1319.478841391192,13.9305,85.8,97.6,88.0,2018
22,00R,Nov,336.2228488117,265.78361718058903,283.98823137735474,216.54907349805683,5275.690032662144,1224.2202361724271,13.9305,85.8,97.6,88.0,2018
23,00R,Dec,397.6826930328704,323.6058719776861,285.20284456992897,228.23686082282853,4041.9224004881376,1209.3607551774885,13.9305,85.8,97.6,88.0,2018
24,00T,Jan,406.65583028916126,308.9450949002496,310.5618013109489,234.71618677292489,3071.044110844792,328.5886492017437,28.5372,95.2,100.1,96.6,2018
25,00T,Feb,349.9336025343957,256.8729814607943,261.75643484569,205.29879692875787,2750.7253689920526,296.7004471356685,28.5372,95.2,100.1,96.6,2018
26,00T,Mar,413.24765900495055,300.690725313664,303.67621537362794,234.71618677292489,2863.455419592672,354.0992108546038,28.5372,95.2,100.1,96.6,2018
27,00T,Apr,349.6085945446159,278.1401709458691,264.97318059068954,203.6779237489588,2653.8342934835937,343.34132290484,28.5372,95.2,100.1,96.6,2018
28,00T,May,361.1005437216998,284.41949197917785,294.3614030511584,227.92643652489792,2778.408533423041,381.4669974629607,28.5372,95.2,100.1,96.6,2018
29,00T,Jun,328.5518268990779,254.36875323185023,281.1069105448842,220.21374692127847,2705.9066761980853,351.0155165888735,28.5372,95.2,100.1,96.6,2018
30,00T,Jul,339.7666859310291,248.93528632578884,297.86982263313973,235.57245782292148,2875.9654065570558,361.0375229524971,28.5372,95.2,100.1,96.6,2018
31,00T,Aug,300.16154563799694,239.4204690865317,274.1650732247168,213.85109050597492,2766.1438403207044,329.99032841343933,28.5372,95.2,100.1,96.6,2018
32,00T,Sep,302.35743295356014,244.118501246489,269.15661676682885,209.47181618214785,3030.9560853902976,333.0039387185849,28.5372,95.2,100.1,96.6,2018
33,00T,Oct,326.89345279738126,255.9396251824524,299.0240176737678,230.861925355665,3876.484027865383,351.26081045092025,28.5372,95.2,100.1,96.6,2018
34,00T,Nov,336.2228488117,265.78361718058903,283.9882313773547,216.54907349805683,3702.9561414574655,345.1985478603367,28.5372,95.2,100.1,96.6,2018
35,00T,Dec,397.6826930328704,323.6058719776861,285.202844569929,228.23686082282856,2963.5002733274464,345.8643454858921,28.5372,95.2,100.1,96.6,2018
36,01E,Jan,406.6558302891613,308.9450949002496,310.56180131094885,234.71618677292483,3386.1237547022643,594.2378136076856,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
37,01E,Feb,349.9336025343956,256.8729814607942,261.7564348456899,205.29879692875784,2949.2698531807546,551.7816767212014,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
38,01E,Mar,413.24765900495055,300.690725313664,303.6762153736279,234.71618677292483,3097.0270830659256,638.4711841312783,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
39,01E,Apr,349.60859454461587,278.1401709458691,264.97318059068954,203.6779237489588,3122.056456788539,639.3104333488019,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
40,01E,May,361.1005437216998,284.4194919791778,294.36140305115833,227.9264365248979,3205.635805333676,677.2741185414836,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
41,01E,Jun,328.5518268990779,254.36875323185023,281.1069105448842,220.21374692127847,2989.9487564301303,674.7070032878822,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
42,01E,Jul,339.7666859310291,248.93528632578884,297.86982263313973,235.57245782292148,3040.0075038753566,728.2214828052646,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
43,01E,Aug,300.16154563799694,239.4204690865317,274.1650732247168,213.85109050597487,2887.659087094322,638.56991933334,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
44,01E,Sep,302.3574329535601,244.11850124648896,269.15661676682885,209.4718161821478,2853.151133973796,622.871022205547,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
45,01E,Oct,326.89345279738126,255.9396251824524,299.0240176737678,230.861925355665,3649.894847009805,654.5156544662868,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
46,01E,Nov,336.2228488116999,265.78361718058903,283.9882313773547,216.54907349805683,3555.4052586368616,616.6013368746359,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
47,01E,Dec,397.6826930328704,323.6058719776861,285.202844569929,228.23686082282856,2724.8447388947584,622.6735518014237,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
48,01G,Jan,406.6558302891613,308.9450949002496,310.5618013109489,234.71618677292483,1385.1765667746297,339.8478035281909,25.4408,90.6,97.5,91.3,2018
49,01G,Feb,349.9336025343957,256.8729814607943,261.75643484569,205.29879692875784,1316.1142731360649,313.94453004622494,25.4408,90.6,97.5,91.3,2018
50,01G,Mar,413.24765900495055,300.690725313664,303.67621537362794,234.71618677292483,1417.3296437218955,359.42265966479044,25.4408,90.6,97.5,91.3,2018
51,01G,Apr,349.60859454461587,278.1401709458691,264.97318059068954,203.6779237489588,1299.6053583220653,343.3461211911575,25.4408,90.6,97.5,91.3,2018
52,01G,May,361.1005437216998,284.41949197917785,294.36140305115833,227.92643652489792,1470.2367850067608,370.1141473538568,25.4408,90.6,97.5,91.3,2018
53,01G,Jun,328.5518268990779,254.3687532318503,281.1069105448842,220.2137469212785,1546.4136347913588,355.4919656614572,25.4408,90.6,97.5,91.3,2018
54,01G,Jul,339.76668593102914,248.93528632578884,297.86982263313973,235.57245782292148,1708.240306908588,367.99157259205685,25.4408,90.6,97.5,91.3,2018
55,01G,Aug,300.16154563799694,239.4204690865317,274.1650732247168,213.85109050597492,1698.8459482406215,339.2975063677243,25.4408,90.6,97.5,91.3,2018
56,01G,Sep,302.3574329535601,244.11850124648896,269.15661676682885,209.4718161821478,1752.4213075060534,338.2362189868243,25.4408,90.6,97.5,91.3,2018
57,01G,Oct,326.89345279738126,255.9396251824524,299.02401767376784,230.861925355665,2131.49743718751,365.3580076098236,25.4408,90.6,97.5,91.3,2018
58,01G,Nov,336.2228488117,265.78361718058903,283.9882313773547,216.54907349805683,1958.1538316405145,348.49533033552405,25.4408,90.6,97.5,91.3,2018
59,01G,Dec,397.6826930328704,323.6058719776861,285.202844569929,228.23686082282856,1608.9116694443571,340.94839784912426,25.4408,90.6,97.5,91.3,2018
60,01J,Jan,406.6558302891613,308.9450949002496,310.5618013109489,234.71618677292483,5045.496787478856,1359.993454066806,14.9571,92.5,103.8,88.5,2018
61,01J,Feb,349.9336025343956,256.8729814607942,261.7564348456899,205.29879692875784,4459.487467490356,1224.1527425598003,14.9571,92.5,103.8,88.5,2018
62,01J,Mar,413.2476590049505,300.690725313664,303.67621537362794,234.71618677292483,4777.396687860614,1432.952031275748,14.9571,92.5,103.8,88.5,2018
63,01J,Apr,349.6085945446159,278.1401709458691,264.9731805906895,203.6779237489588,4544.530691109908,1161.8289099271742,14.9571,92.5,103.8,88.5,2018
64,01J,May,361.1005437216998,284.41949197917785,294.36140305115833,227.92643652489792,4761.885659653275,1277.6815351611788,14.9571,92.5,103.8,88.5,2018
65,01J,Jun,328.5518268990779,254.36875323185023,281.1069105448842,220.21374692127847,4560.643440239083,1209.8277266036243,14.9571,92.5,103.8,88.5,2018
66,01J,Jul,339.76668593102914,248.9352863257889,297.8698226331397,235.57245782292148,4828.208676815692,1261.6991118362516,14.9571,92.5,103.8,88.5,2018
67,01J,Aug,300.16154563799694,239.4204690865317,274.1650732247168,213.85109050597492,4470.251586203208,1157.3611460530424,14.9571,92.5,103.8,88.5,2018
68,01J,Sep,302.3574329535601,244.11850124648905,269.15661676682885,209.47181618214785,4310.32753675512,1136.636747420848,14.9571,92.5,103.8,88.5,2018
69,01J,Oct,326.89345279738126,255.9396251824524,299.0240176737678,230.861925355665,5743.626772569549,1353.0532386958891,14.9571,92.5,103.8,88.5,2018
70,01J,Nov,336.2228488116999,265.783617180589,283.9882313773547,216.54907349805683,5274.35131141732,1313.4149094759305,14.9571,92.5,103.8,88.5,2018
71,01J,Dec,397.6826930328704,323.6058719776861,285.20284456992897,228.23686082282856,4133.421585735203,1313.1169117763384,14.9571,92.5,103.8,88.5,2018
72,01K,Jan,406.6558302891613,308.9450949002496,310.56180131094885,234.71618677292483,5094.079353363261,262.09116319591493,33.0572,102.51999999999998,101.76,105.56000000000002,2018
73,01K,Feb,349.9336025343956,256.8729814607942,261.75643484569,205.29879692875784,4387.66743704851,247.72213012596347,33.0572,102.51999999999998,101.76,105.56000000000002,2018
74,01K,Mar,413.24765900495055,300.690725313664,303.67621537362794,234.71618677292483,4698.734315066006,288.0764251055746,33.0572,102.51999999999998,101.76,105.56000000000002,2018
75,01K,Apr,349.6085945446159,278.1401709458691,264.9731805906895,203.67792374895885,4347.887903391696,300.0556610965236,33.0572,102.51999999999998,101.76,105.56000000000002,2018
76,01K,May,361.1005437216998,284.4194919791778,294.36140305115833,227.9264365248979,4577.6109289353,325.1031545321443,33.0572,102.51999999999998,101.76,105.56000000000002,2018
77,01K,Jun,328.5518268990779,254.3687532318503,281.1069105448842,220.2137469212785,4294.102343816173,311.4298851687378,33.0572,102.51999999999998,101.76,105.56000000000002,2018
78,01K,Jul,339.76668593102914,248.93528632578884,297.8698226331398,235.57245782292148,4464.443449535956,339.8351947533366,33.0572,102.51999999999998,101.76,105.56000000000002,2018
79,01K,Aug,300.1615456379969,239.42046908653168,274.1650732247168,213.85109050597487,4364.253475793473,299.75315513715617,33.0572,102.51999999999998,101.76,105.56000000000002,2018
80,01K,Sep,302.3574329535601,244.11850124648896,269.15661676682885,209.47181618214785,4366.159263337488,310.61311907844583,33.0572,102.51999999999998,101.76,105.56000000000002,2018
81,01K,Oct,326.89345279738126,255.93962518245243,299.0240176737678,230.861925355665,5193.724816378883,305.86377551637764,33.0572,102.51999999999998,101.76,105.56000000000002,2018
82,01K,Nov,336.2228488117,265.78361718058903,283.9882313773547,216.54907349805683,5172.609900415038,290.466222184577,33.0572,102.51999999999998,101.76,105.56000000000002,2018
83,01K,Dec,397.6826930328704,323.6058719776862,285.202844569929,228.23686082282853,3983.852231888968,286.866401268105,33.0572,102.51999999999998,101.76,105.56000000000002,2018
84,01V,Jan,406.65583028916126,308.9450949002496,310.56180131094885,234.7161867729248,4599.127058600711,1014.6437211064144,11.6159,94.8,103.7,95.4,2018
85,01V,Feb,349.9336025343956,256.8729814607943,261.7564348456899,205.29879692875784,4027.152437607073,943.2760268252998,11.6159,94.8,103.7,95.4,2018
86,01V,Mar,413.2476590049505,300.690725313664,303.67621537362794,234.7161867729248,4340.860372420561,1035.9937671639734,11.6159,94.8,103.7,95.4,2018
87,01V,Apr,349.60859454461587,278.14017094586904,264.97318059068954,203.6779237489588,4333.19846073055,1023.9413218088998,11.6159,94.8,103.7,95.4,2018
88,01V,May,361.1005437216998,284.4194919791778,294.36140305115833,227.9264365248979,4308.060503275682,1087.4749266092167,11.6159,94.8,103.7,95.4,2018
89,01V,Jun,328.5518268990779,254.36875323185023,281.1069105448842,220.21374692127847,4143.11417970196,1013.3523876755138,11.6159,94.8,103.7,95.4,2018
90,01V,Jul,339.76668593102914,248.9352863257888,297.86982263313973,235.57245782292145,4275.088456340017,1050.8871460670289,11.6159,94.8,103.7,95.4,2018
